,original
1222,@OfficialDMRC Kindly administer the protestors and prevent any unlawful conducts in the national capital🙏
1226,@OfficialDMRC is this the cleaning in your metro I boarded the train from Janakpuri west and it is a termius station it should be cleaned but it is not coach number is D8 A022 L2 #dirty https://t.co/q14sinJBDt
1233,"@OfficialDMRC Pathetic photoshop... Microsoft paint may give a  better output than this..... Instead of this time pass, pls ensure timely service in Blue Line"
1254,"Delhi Metro (@OfficialDMRC) officials are checking and ensuring that people are wearing masks in the premises of metro station and inside metro. Violators are being fined.

@NewIndianXpress @TheMornStandard @santwana99 @VatsalaShrangi"
1259,"@OfficialDMRC Men faces is blur, van is invisible, metro piller missing, green pole missing, govind puri gate no is missing, stair railing not ok, station corridor tiles Kam he, painting leaf not correct,"
1275,"RT @Avinash69127861: Noida Electronic City Platform No.1 Platform to Track Lock was found in open along with key in the lock, Kindly do the…"
1292,"@OfficialDMRC 1. Metro Entry Board - Govind Puri removed
2. Metro Panels x 2 - one on left other on right
3. Gree tree has been removed.
4. All metro hoardings has been removed ."
1309,"@OfficialDMRC &gt;Metro Entry Board - Govind Puri
&gt;Metro Panels x 2 - one on left other or right
 &gt;Gree tree has been removed.
&gt; All metro hoardings has been removed"
1317,"My father has forgot the medical documents during the journey of Vaishali to Rajiv Chowk on 17/06/2022 at 1000AM-1040AM....Name mentioned on documents are ALI ABBAS
Kindly please help to trace the medical documents &amp; do let me know.
@OfficialDMRC @DCP_DelhiMetro @CPDelhi"
1323,"@OfficialDMRC Dekho diffrence to kafi hain but simply thought yeah ki 
First metro gate hain
Second... Metro ka gate hain hin nhi.. because aesa kuch ni jo use metro ka gate justify krta hain no logo no board.. no any other mark"
1336,"My father has forgot the medical documents during the journey of Vaishali to Rajiv Chowk on 17/06/2022 at 1000AM-1040AM....Name mentioned on documents are ALI ABBAS
Kindly please help to trace the medical documents &amp; do let me know.
@OfficialDMRC @DCP_DelhiMetro @DCPNewDelhi"
1340,"Buffet  of your choice is ready . specially crafted and designed for your taste.
offer valid till July'22. call and hire  👩‍🔧👲🚛🚝🚔🛫🗼🏗️🏙️🏙️ || @PMOIndia @ndtv @ITI_TechTweets @OfficialDMRC @pwd_india @GMRCenter #bajaj #hero #mehindera #Court #3m #pedialite #bata #Haldirams #hp https://t.co/1X2ahmgsEq"
1343,"@OfficialDMRC Cool. Because no one has come here for buffet.

Thanks and regards

Kindly use cctv properly now onwards."
1344,@PuneetS02447998 @OfficialDMRC Warm greetings from @CISFHQrs. Thank you for taking time and sharing your valuable feedback acknowledging good works done by CISF personnel.
1348,"RT @iis_now: #DelhiMetro's social media communication has helped it share crucial information at the right time with the people, redress pu…"
1353,"#DelhiMetro's social media communication has helped it share crucial information at the right time with the people, redress public grievances, and also for branding: PRO, @officialDMRC  (2/2)

#IISTraining
#LetsMetro https://t.co/jZ9J4PjBhv"
1359,@OfficialDMRC Top Top Nehi ho raha hai sir please https://t.co/mfSUs89MRH
1363,@OfficialDMRC Please hire better designers and content creators.
1364,"@OfficialDMRC hi. Itsa common sight to see people running up the escalator or walking fast/running on the travelators...just doesn't make sense. And there are notices asking people not to do so. Can't dmrc watch out for these people and fine them,"
1376,"@OfficialDMRC 1. Metro Entry Board - Govind Puri
2. Metro Panels x 2 - one on left other or right
3. Gree tree has been removed.
4. All metro hoardings has been removed"
1379,@OfficialDMRC why acs are not working in metro. It's very suffocating instead hot air is coming out. Last coach  metro going from dwarka to vaishali. Coach no D3 A12
1381,@OfficialDMRC people keep eating inside the trains. No action is taken.
1383,@OfficialDMRC Lack of security personnel at Botanical Garden metro station can lead to a big accident in near futureBetter to act soon rather than regretting in near futureAlso is Metro running short on cash?AC not working on most of the routes...@vishwakantnoida @Dkumarchandel
1395,@OfficialDMRC @HardeepSPuri sir corona case declining good news but bad news is frequency of metro is decreased and commuters are increased today rain not heavy metro frequency by 14 minute on mezenta line what a manage ment. houz khas metro both up and down train comming making
1397,"@OfficialDMRC Thanks but sorry  I travelled from CS to GTB Nagar, noboday clean it at Civil Line stn and uoto GTB Nagar. After that I don't know.But surely, you are misinformed by your staff. Anyway........"
1403,"Thank you so much team &amp; salute @CISFHQrs , today from there support &amp; efforts I am able to found my missing Laptop, while traveling in today Delhi metro @OfficialDMRC from Rohini East to Shahdara metro station, @CISFHQrs team really helped me...may almighty blessed all of them."
1404,"@shivanshi94 @OfficialDMRC I would love to give u such advises , enjoy"
1408,"@OfficialDMRC Today I have approach to ticket counter of new Delhi rly station and asked for ticket up to noida city centre. 
Your customer care executive engaged me by telling this is the last metro so may missed the metro.
further,I have given 500 rs note in exchange of token"
1410,@OfficialDMRC You are taking ac fare and not providing cooling and saying ac temperature set by keeping in mind the comfort of passenger. And passenger ko pasiney aa rahey they toa unka kesa comfort. Please reply if you can do.
1427,@OfficialDMRC Jamia millia metro station staff Mr. Saurabh yadav is very illmanner and arrogant. Please take the action accordingly.
1431,"@OfficialDMRC 
Metro at 9pm at Hauz Khas is taking 12 minutes of time to arrive. 
Is this how fast Delhi Metro operates? 
Metro's frequency is reduced and allows crowded stations and metro. https://t.co/OWro1KLSTG"
1440,@OfficialDMRC Today i was traveling from dwarka mor to Rohini with my family at around 1:15 pm I got 4 token. actual amount of 4 token is 160 rs but he charged me 260 rs.i gave him 500 rs he return only 240rs Please take action regarding this type of inconvenience
1441,@OfficialDMRC Good one 😛
1442,I have been visiting Uttam Nagar east station for a month or so. I want to ask @OfficialDMRC if it is legal for vendors to put their carts under the metro pillars?I guess not as there is a big board stating it is a metro property.Then why are they still there? Kindly look for it
1460,"RT @xplorer_xplor: @OfficialDMRC You can charge more but improve the quality, cleaning &amp; Hygene in the Toilets of Metro Stations.   Also yo…"
1461,"@OfficialDMRC You can charge more but improve the quality, cleaning &amp; Hygene in the Toilets of Metro Stations.   Also you can put the barrier and charge through metro card according to the time spent in the Toilet.

Should encourage brands to advertisment @DurexIndia @Jockey"
1483,@OfficialDMRC What about the discomfort felt???why such deficient service???r we not paying the full fare????
1486,"@DrupNs @OfficialDMRC Oh yeah, such an innovative idea that was. I couldn't have thought it. I was at Karol bagh when I sent that tweet and a cab would have taken 2 hours to reach the venue. Stop giving unsolicited advise without knowing the full context."
1487,@OfficialDMRC Kindly Consider the lift no 5 at Maujpur metro station at the entry from gate no 3 or 5.the Fan of the lift is not working.
1488,@OfficialDMRC why you are not taking action who doesn't wear mask while in metro train as per your display and announcement wearing mask is mendetory even ur pvt security personnel are not following if so is it now mendetory or not
1495,@OfficialDMRC please get it clean M2A34 https://t.co/Ry4ysYLfY2
1498,"Please take immediate action, now at Jor Bagh and heading towards CS. @OfficialDMRC @CISFHQrs"
1517,RT @OfficialDMRC: @avinashstart Hi. Please provide smart card number for checking further.
1519,@OfficialDMRC @AmazonHelp you all too kindly look into this ..if any remedy is possible then do the needful
1520,"@OfficialDMRC
People in the metro keep on playing
Music without earplugs while asked to stop, start fighting
Kindly take action against those fellows"
1530,"@OfficialDMRC is putting fines on mask mandate, but no one is wearing a mask. They are doing it according to their convenience, in aloof stations, singling out passengers. if you really want to do it properly, visit kashmiri gate: NO ONE WITH A MASK. Or stop"
1531,RT @Babubhai1999: @saranshsagar999 @OfficialDMRC @CMODelhi @DelhiPolice @OfficialDMRC kindly take strict action. This is your responsibilit…
1532,@saranshsagar999 @OfficialDMRC @CMODelhi @DelhiPolice @OfficialDMRC kindly take strict action. This is your responsibility and duty to provide safety to your passengers. @DelhiPolice
1540,"@Ashwanidahiya01 @OfficialDMRC Hi Ashwani,
We have built a legal platform where we help people in getting their refunds with the help of our lawyer team. We are providing services free as of now. So you can just go to https://t.co/a17bcwxYIO and register your complaint. Our team will reach out to you soon."
1541,"@OfficialDMRC Thank you.
Kindly Proactively look into the issue of Appropriate masking by all passengers."
1548,@OfficialDMRC Reply me first 😜😏
1550,its Superb Keep it up #मैंऔरमेरीसाईकल @pedalandtring @DPRdelhi @dalipsabharwal @Chiragshah3088 @MayorofLondon @sselvan @DilliCyclist @Hero_Cycles @AvonCyclesIndia @LeaderCycle nice initiative @OfficialDMRC can also do the same  My best wishes to @MMMOCL_Official https://t.co/GRN4RqmSRw
1558,"RT @OfficialDMRC: Contribution towards a Sustainable Environment!

DMRC being an environment conscious organization has always tried to con…"
1563,RT @OfficialDMRC: Construction work of Diaphragm Wall was started near Tughlakabad Air Force Station on Phase 4's silver line today with a…
1574,@OfficialDMRC Nice one admin
1575,"@OfficialDMRC Tag that friend who says "" I will be on time"" but tweets us "" Delay in services on Blue line , Normal Services on all other lines"" 
Answer : My love @OfficialDMRC"
1577,"RT @OfficialDMRC: Contribution towards a Sustainable Environment!

DMRC being an environment conscious organization has always tried to con…"
1578,"RT @OfficialDMRC: Blue Line Update

Delay in Services between Dwarka Sector 21 and Noida Electronic City/Vaishali.

Normal service on all o…"
1580,RT @OfficialDMRC: 2. Normal train services were continuously available on rest of the sections of Blue Line during this period in two loops…
1582,"RT @OfficialDMRC: Blue Line Update

Delay in services between Dwarka Sector 21 and Noida Electronic City/Vaishali.

Normal service on all o…"
1586,RT @OfficialDMRC: Construction work of Diaphragm Wall was started near Tughlakabad Air Force Station on Phase 4's silver line today with a…
1587,"RT @OfficialDMRC: Blue Line Update

Delay in services between Dwarka Sector 21 and Noida Electronic City/Vaishali.

Normal service on all o…"
1590,@OfficialDMRC Is it still the same rule of no penalty or has it been changed recently? The police at Janakpuri east metro are fining people for no mask despite this notification.
1591,"@OfficialDMRC There is huge difference in speed as compared to Other lines like Red, yellow etc. I m also Sharing a clip of Red line train journey. Also, kindly Increase Train Frequency. After 10 am, Train comes at6-8 min. And sometimes 10 min. Intervals which is so time consuming. https://t.co/hUhOp5why6"
1592,"Dear @OfficialDMRC,

Request you to kindly increase the number of coaches reserved for women at least during peak hours.

There is hardly any space to stand for anyone during these office hours &amp; it's very uncomfortable for women to stand in between the crowd of men.

#delhimetro"
1596,"@OfficialDMRC This today pics of Raja nahar singh metro station parking .I have informed many times to control room.but no response and action.
If u r not serious about this concern I will mail to higher authority of India. Soon I have multiple photos of parking.around the boundary no cleaning https://t.co/cnWcB7vfzB"
1597,"@sagarkatrin @OfficialDMRC Because, They were busy in Imposing fine to those who not covered there nose by mask."
1598,"@OfficialDMRC Sir the best metro of world considering our population and people.
Request you to focus on time saving of people by introducing odd and even platforms which will result in 40-50℅ time saving"
1603,"@OfficialDMRC

 Coach M3B05R... Can you take some action ??

@ArvindKejriwal @CMODelhi @LtGovDelhi @msisodia https://t.co/XeJTcfneUy"
1619,@VikasSuhag17 @OfficialDMRC @ApniWestdelhi @CISFHQrs I also face the same problem daily. But dmrc officials dont take any action on this.
1624,@OfficialDMRC @sagarkatrin Same stake reply.agaibst my complaint of ac not cooling enough rec'd the same standard reply.what dmrc doesn't understands is that they r measuring the temp with EMPTY coach not with a fully filled one.dmrc do something not just lip service to consumers
1627,@OfficialDMRC  Try to keep ac on in good condition (according summer 43°) Dwarka to Vaishali today morning
1628,"On Platform no.2 in Jama Masjid station Many ceiling panel parts have got detached and about to fall off anytime. Iron/ steel panels. It could be fatal for passengers.  Can you take action to rectify. 
@OfficialDMRC"
1636,Needs to clean coach no. M6C24 @OfficialDMRC https://t.co/8enXh8ay2J
1638,"@OfficialDMRC Why are you replying so late at this time,I had raised the request last night at 7:52pm when I was in metro at that time we had feeling like suffocating now you are replying that temperature is fine o please do not get the formalities here it's a life you will have to maintain"
1639,"RT @aarnavg17: This model only makes me feel VERY VERY proud. 

https://t.co/xhKeqIEvTp

Pink line will get crowded though, @OfficialDMRC p…"
1646,"@Varun_dvn @advani_kiara @AnilKapoor 
Don't you know eating &amp; drinking is prohibited in metro.
Even @narendramodi Ji travelled by @OfficialDMRC on multiple occasions but never ate / drank anything.
@MumbaiMetro3 are you taking any actions over them ?
#stupidcelebrity"
1647,"This model only makes me feel VERY VERY proud. 

https://t.co/xhKeqIEvTp

Pink line will get crowded though, @OfficialDMRC please extend Green Line to here."
1648,"Only if the Red Line station was a bit ahead on the road, which was definitely possible. Interchange, which is going to be super useful, would’ve been much better. @OfficialDMRC @officialncrtc https://t.co/37Ib17CUOI"
1650,"@OfficialDMRC Does your protocol allow wet cleaning of platforms and stairs during the hours of passenger service? If yes, please change that protocol, because it's too dangerous. If not, please check with your people at Dwarka Sector 13 station why this is happening."
1653,@OfficialDMRC I am at your Dwarka Sector 13 Metro Station. I just got off the train. Your passenger service is still on. But your workers have already started wet cleaning the stairs. It is very dangerous for any passenger to walk on wet platforms and use wet stairs.
1662,@sushil1967gupta @OfficialDMRC @LtGovDelhi @HardeepSPuri @NavbharatTimes @epanchjanya @aajtak Rather than ranting this on social media you could have socialized then and there itself and created awareness to wear mask.
1667,"@OfficialDMRC Male passangers are seen travelling in women's section regularly and no security was there to take action, especially in line Brigadier Hoshiar Singh to Kirti nagar/Inderlok metro."
1670,@OfficialDMRC @sushil1967gupta Sir this is general thing in metro hence required strictness for COVID protocol don't expect spoon feeding  🙏
1687,"There are many people's and temperature is to high according to this summer,I hope you will understand the situation of at this time,We are feeling suffocation here,Please  it's a request to maintain the temperature in metro that would be a very good for our breath.@OfficialDMRC https://t.co/EwnLgkU5cU"
1688,"Kindly check the ac Coach No -M2A03.

@OfficialDMRC 

@ArvindKejriwal 
@msisodia 
#DMRC"
1690,"@DelhiPolice @OfficialDMRC @CMODelhi @PMOIndia
This is challan was cut at Kalkaji metro for not wearing mask but they have taken challan amount in personal no. Kindly confirm if this payment is gone to govt account or not ,Payment done on no. 7292003527 ( Monika) ..please confirm https://t.co/lfhkDdSWyF"
1699,"@OfficialDMRC It's a daily affair at Huda City Metro these days, sometimes entry gates are not working and sometimes exit gate but who cares in actual? Public suffering, lets enjoy the song.

Frequency at Huda is 5-7 minutes in evening peak hours but who cares? Have even frequency of 3 minute. https://t.co/HfrZkiRebh"
1700,"@OfficialDMRC 
I am a daily user of Delhi metro and I usually have a good experience. But today I am frustrated by @OfficialDMRC services. I topped up my smart card today morning in hopes of a smooth experience but as it turns out, the DMRC server is not working."
1704,"Is it safe to say that these are permanent establishment @OfficialDMRC?? . Just reply with a YES and I won't raise this matter.
This encroachment needs to be addressed ASAP. Bahadurgarh City Metro Station Gate no. 2. https://t.co/0u7lC1NlJ5"
1705,@OfficialDMRC #coach T 8E024 towards Janakpuri West So many people travelling without MASK. Why these people not stopped at security gates ? No checking in metro coaches. #Covid_19 being spread manyfolds. Need immediate action.
1713,@Ruchitaaduggal @OfficialDMRC Yes or enjoy kijiye apne bacho k sath summer vacation
1717,@sunily2014 @OfficialDMRC Yadav Ji needs to file an RTI to now whether Delhi metro is goods or passenger train. Total expenses- Rs 10 only.😉
1721,@OfficialDMRC Nehru enclave  2  no platform 19 to 18 gate  plz clean https://t.co/j2Ap9MWjL3
1723,"RT @shreykaushik22: Its a situation of delhi metro @OfficialDMRC mansarover park metro station parking, my new car is parked on monthly bas…"
1724,"Its a situation of delhi metro @OfficialDMRC mansarover park metro station parking, my new car is parked on monthly basis, there was lots of scratches due to overload park. Misbehaving staff, no body can take authorities to talk with me. It was happened on 6th june. Kindly revert https://t.co/bKf70hOF9V"
1727,"@OfficialDMRC The problem arises when one is commuting long distance like from Dwarka to greater noida, is in a hurry and can’t go out to fetch water. So you are requested to explore on platform facilities for bigger exchanges."
1733,@OfficialDMRC Thank you so much just hoping to see good road around me and enjoy my road trip from home to office .
1734,"On #worldelders day @OfficialDMRC if we can have Womens compartment in delhi metro,Why not monitored Compartment for old age &amp; disabled.Please try for trains/buses/hospitals @RailMinIndia @MORTHIndia  @WHO @UN @UN_PGA @antonioguterres @UN_Valovaya make monitored #laws #Implement"
1736,@OfficialDMRC There are still many peoples who don't know which train will got Dilshad Garden and New bus Adda. I request you to please solve this problem
1737,RT @RajeshP23434237: @OfficialDMRC Chandni chowk metro station at gate no 3 for old Delhi railway station the escalator isn't working. Plea…
1742,"@OfficialDMRC Hello Sir i m son of Gardener who sold out all farm Land and property in my BTech (ME) Education &amp; accident, Now Struggling to survive on Earth. Designing on SolidWorks CATIA ANSYS is like my hobby . M Believe in Perfection and growth of work. Can you help me SIR @elonmusk"
1743,"@OfficialDMRC dear metro authority, i got fined for removing the mast for 2 mins. There were almost half of the train were not wearing mask but they selected 3 of us. They took 200 from me and giving me the attached receipt for not wearing mask."
1749,"@dalipsabharwal @Xroaders_001 @OfficialDMRC @DDC_Delhi @PMOIndia @ashishkundra @ArvindKejriwal @LtGovDelhi @narendramodi @BYCS_org @amitkInd @ABPNews @News18India @NavbharatTimes @PTI_News @SandhyaTimes4u @ravishranjanshu @SurajSolanki @mansukhmandviya And how many vertical cycle stands can actually be there in the coach, 4-8 ? Thats it ...

Its a good move, not bad . But don't force it unnecessary on lines which has high no. of commuters ."
1751,"RT @sunilkapoor8: Delhi reports 1118 new #COVID19 cases in last 24 hours.

Hv seen many people in @OfficialDMRC without #Masks. No checking…"
1752,@OfficialDMRC Please take action this is very dangers person
1753,"RT @Yadav100nu: Pls take Necessary Action on purity basic
@CeoNoida @dmgbnagar @DeptGbn @dr_maheshsharma @PankajSinghBJP @OfficialDMRC @UPG…"
1754,"Pls take Necessary Action on purity basic
@CeoNoida @dmgbnagar @DeptGbn @dr_maheshsharma @PankajSinghBJP @OfficialDMRC @UPGovt https://t.co/SKcZHIK58F"
1755,@OfficialDMRC currently the fine for not wearing a mask in metro. But my advise to authority is please provide atleast a mask who got fined. Ultimately our motive is to stop spreading the covid.
1763,@OfficialDMRC Chandni chowk metro station at gate no 3 for old Delhi railway station the escalator isn't working. Please look into it. Thank you 😊
1764,@MohdRus320 @CPCB_OFFICIAL @OfficialDMRC @LtGovDelhi @pwddelhi @OfficialDMRC Kindly take necessary action and upload ATR.
1765,"RT @sunilkapoor8: Delhi reports 1118 new #COVID19 cases in last 24 hours.

Hv seen many people in @OfficialDMRC without #Masks. No checking…"
1767,"RT @sunilkapoor8: Delhi reports 1118 new #COVID19 cases in last 24 hours.

Hv seen many people in @OfficialDMRC without #Masks. No checking…"
1771,"@sunily2014 @OfficialDMRC Yeh tum hi log ho na jo gareeb k pet me laat marne se regret feel nai karte?? If you have so much problems then there's plenty of coaches out there, better shift to other but don't just poke poors. Like you, everyone is working hard to feed their stomach."
1783,"RT @saviour_era: @OfficialDMRC 
Must ask their free communters to first pay ticket price to travel and then ask for seats. 

Tax payers mon…"
1789,"@OfficialDMRC But pl do run frequent msg on your PAS system for passengers to not play videos or songs on high volume while in Metro. Some passengers play very wierd and offensive videos/songs in metro and if you ask them to lower the sound or put on ear plugs, they start fighting with you"
1793,"@OfficialDMRC   two persons carrying bakery items in metro coach, traveling from kashmiri gate metro station towards rajiv chowk at 9:45 am date 15 June, whether it is permissible as per rules or not. If not,  whether it was stopped by security staff
Is it goods train or passenge https://t.co/GleTBLA1iQ"
1795,@OfficialDMRC First fix blue line
1797,"RT @saviour_era: @OfficialDMRC 
Must ask their free communters to first pay ticket price to travel and then ask for seats. 

Tax payers mon…"
1803,@OfficialDMRC Personally i am disappointed as no immediate actiin was action. This has reduced trust of a valued customer and increased the confidence of a defaulter.
1805,@OfficialDMRC Hi.. Has DMRC any action plan to CATCH &amp; PENALISE such indisciplined commuters. They're spoiling the clean image of Delhi Metro.
1807,@OfficialDMRC tried 5-6 time charge my metro card online but everytime it gets failed from your end kindly look into this 🥲🥲
1808,"People are roaming without mask in Delhi Metro Premises. Since cases are at rise @OfficialDMRC please make rules strict &amp; ask for fine. 

#Delhi #COVID19 #CovidIsNotOver #COVID"
1816,"RT @sunilkapoor8: Delhi reports 1118 new #COVID19 cases in last 24 hours.

Hv seen many people in @OfficialDMRC without #Masks. No checking…"
1818,@OfficialDMRC at janak puri west inter change can you allot police please so that commuter can easily come out. Few fellow members rarely allow to take exit easily
1819,"@OfficialDMRC @CPCB_OFFICIAL Sir you only send pics when water sprinkles ...just see my video which is just after half an hour ...and the exact suitation of service road ..why DMRC do not take strict action ...we want proper service road . Open the service road asap. 9810240466
8810229206"
1830,"@OfficialDMRC this sticker is getting stick to our clothes pls remove it 
Metro now at Rajouri garden 
Second last coach (A3A31) right hand seats https://t.co/JEUzUOEs16"
1831,RT @OfficialDMRC: @CPCB_OFFICIAL @MohdRus320 Hi. Cleaning is being done on daily basis. Service road has already been made by DMRC and main…
1838,"RT @sunilkapoor8: Delhi reports 1118 new #COVID19 cases in last 24 hours.

Hv seen many people in @OfficialDMRC without #Masks. No checking…"
1841,"@DivasKu05656899 @OfficialDMRC Who Is not able to write properly, how must be thinking straight...lol

Sir kindly post pics with line and workers not serving else keep it shut"
1842,@ansh_singhal @J_a_g_d_e_e_p_ @OfficialDMRC lmao aiims metro station tha😭😭😭
1845,@OfficialDMRC What is the status of Narela metro. Do you know that how poor transportation is there for this area. In every election you are giving lolypop to people. Please update the status.
1846,RT @OfficialDMRC: Normal services have resumed.
1850,RT @flyingspot4518: Our government given right to have water from any hotel or restaurant but we don't have any water point at metro statio…
1853,"RT @sunilkapoor8: Delhi reports 1118 new #COVID19 cases in last 24 hours.

Hv seen many people in @OfficialDMRC without #Masks. No checking…"
1855,@OfficialDMRC @purva_simi @OfficialDMRC Action lo
1856,"@OfficialDMRC let me know what's is the price to take new metro card.. And i ahd writeen you a mail i need that answer... If you guys are givinge us a receipt of recharge , u must have the same copy and recording.. U need that.. Copy of that.."
1862,"@purva_simi @ArvindKejriwal @MetrobusCDMX @msisodia @OfficialDMRC @Transportdepart @dtptraffic @1delhibjp @INCDelhi @DelhiPolice @kgahlot https://t.co/Mr5QMtEtXi

Check full video with public  feedback"
1863,"@akrai_16 @purva_simi @ArvindKejriwal @MetrobusCDMX @msisodia @OfficialDMRC @Transportdepart @dtptraffic @1delhibjp @INCDelhi @DelhiPolice @kgahlot https://t.co/Mr5QMtEtXi

Full video of this matter"
1864,"@OfficialDMRC @purva_simi https://t.co/Mr5QMtEtXi

Full video of this matter"
1865,@OfficialDMRC @swetasingh2000 Shouldn’t water be free?
1867,"RT @sunilkapoor8: Delhi reports 1118 new #COVID19 cases in last 24 hours.

Hv seen many people in @OfficialDMRC without #Masks. No checking…"
1868,"Our government given right to have water from any hotel or restaurant but we don't have any water point at metro station,place where water is essential. @OfficialDMRC @CMODelhi @shipmin_india"
1870,@OfficialDMRC I know that it will be refunded but it doesn't mention the time period within which I have to tap the card at an AVM after web top-up. I have already read all the FAQs but it doesn't mention that anywhere. Kindly clarify the time period within which I have to tap my card at AVM.
1872,"RT @sunilkapoor8: Delhi reports 1118 new #COVID19 cases in last 24 hours.

Hv seen many people in @OfficialDMRC without #Masks. No checking…"
1874,"@OfficialDMRC 
Raja nahar singh metro station 
First metro timing???"
1877,"@RoshanRaj08 @OfficialDMRC The video doesn’t show another platform, which is used for Intercity Through Trains (double decker), also run by MTR. That’s one track away from East Rail Line (and has border control measures). With the new platforms, Hung Hom now has a total of 9 platforms."
1879,"@RoshanRaj08 @OfficialDMRC terminating*. Right next to the tracks of west rail line, there’s another west rail line track, like side platforms. Both platforms are used alternatively by west rail line. You’ll see this in the video."
1882,"@RoshanRaj08 @OfficialDMRC I’ll have to look. It’s anyway the old platforms, not used anymore (since last month). There was a 5th platform near to this which was intercity through trains which went to China, sharing tracks with East Rail Line at times. Let me find a good YouTube video."
1884,"@RoshanRaj08 @OfficialDMRC Tuen Ma line terminates at Central, and does this too. Has two platforms for it, island. One train comes, waits a long time, another comes, this leaves later. This is why I wished for Dwarka Grey to be Island, since it isn’t a good interchange anyway. Would’ve helped."
1887,"RT @sunilkapoor8: Delhi reports 1118 new #COVID19 cases in last 24 hours.

Hv seen many people in @OfficialDMRC without #Masks. No checking…"
1888,"@RoshanRaj08 @OfficialDMRC A good way to illustrate - that station was like Yamuna Bank, if the Vaishali one was a different line and terminated here, and Noida one was a different line and terminated here too."
1889,"@RoshanRaj08 @OfficialDMRC I don’t know if they’ll ever do that tho. They’ve never merged two lines before, but there’s always a first. Hopefully. SKK needs two lines."
1891,"@RoshanRaj08 @OfficialDMRC Not a fan of branches, so definitely a good thing it’s dropped."
1892,"RT @sunilkapoor8: Delhi reports 1118 new #COVID19 cases in last 24 hours.

Hv seen many people in @OfficialDMRC without #Masks. No checking…"
1900,@aarnavg17 @OfficialDMRC I think the plan is to have it underground. But elevated platforms will be better for interchange.
1903,@aarnavg17 @OfficialDMRC Atleast the platform should be directly below the existing Red Line one even if it is 2 level below.
1905,@RoshanRaj08 @OfficialDMRC I don’t really think we’ll be having a good interchange at Inderlok anymore though.
1907,"@RoshanRaj08 @OfficialDMRC Yep. Space is going to be challenge, the current platform goes long and perpendicular, creating a hurdle. One way would be to create it above the red line platforms, if that’s somehow doable. As long as they do it and not create a new line."
1909,"@RoshanRaj08 @OfficialDMRC Then they shifted East Rail Line one level below the new connected Tuen Ma line for a *super important* extension alignment. This extension of 2 stations costed them sharp curves, reducing train’s existing 12 coaches to a maximum of 9."
1910,"@RoshanRaj08 @OfficialDMRC Why did Hong Kong do it? They joined two lines into one by creating 4 stations in middle (my Silver-Grey and Brown-Green hope), so had to change direction of the train as it was on level and in between two East Rail Line tracks."
1913,"@aarnavg17 @OfficialDMRC Will they gather enough courage to change allignment of existing platforms! Highly doubt it.
But such a visionary civil project by London Underground way back in 1950s,hats off."
1915,@OfficialDMRC i have lost my metro card at Naraina metro station so i want to my old metro card balance transfer to new card i have metro receipts as last time issued by metro
1929,"RT @sunilkapoor8: Delhi reports 1118 new #COVID19 cases in last 24 hours.

Hv seen many people in @OfficialDMRC without #Masks. No checking…"
1931,"RT @sunilkapoor8: Delhi reports 1118 new #COVID19 cases in last 24 hours.

Hv seen many people in @OfficialDMRC without #Masks. No checking…"
1932,@OfficialDMRC in normal service at blue line today?
1934,"RT @sunilkapoor8: Delhi reports 1118 new #COVID19 cases in last 24 hours.

Hv seen many people in @OfficialDMRC without #Masks. No checking…"
1935,"RT @sunilkapoor8: Delhi reports 1118 new #COVID19 cases in last 24 hours.

Hv seen many people in @OfficialDMRC without #Masks. No checking…"
1936,"RT @sunilkapoor8: Delhi reports 1118 new #COVID19 cases in last 24 hours.

Hv seen many people in @OfficialDMRC without #Masks. No checking…"
1937,"RT @sunilkapoor8: Delhi reports 1118 new #COVID19 cases in last 24 hours.

Hv seen many people in @OfficialDMRC without #Masks. No checking…"
1938,"RT @sunilkapoor8: Delhi reports 1118 new #COVID19 cases in last 24 hours.

Hv seen many people in @OfficialDMRC without #Masks. No checking…"
1939,"@OfficialDMRC The buses are parked in front of the metro station and it says feeder bus. If those buses are authorised to be in metro premises, I'm sure DMRC has something to do with it."
1941,"Delhi reports 1118 new #COVID19 cases in last 24 hours.

Hv seen many people in @OfficialDMRC without #Masks. No checking, fine by #delhimetro for people travelling without #Mask. 😷
@HardeepSPuri @MoHUA_India @RailMinIndia @DMRC_FansClub @teekhi_mircheee https://t.co/t0a2wV3zaf"
1942,@Sagar47924861 @OfficialDMRC Ok nice
1956,"@Namitaangelite @noida_authority @drKabirSardana @vikranttongad @cpsavesoil @PMOIndia @myogiadityanath @CeoNoida @nisharai_ggc @NandiGuptaBJP @Rashmi_dwivedi @swatiagrwlsingh @PJP_2013 @Anjalis09068541 @city_spidey @NGTribunal @ChiefSecyUP @vikramsethi1974 Near Gate no.2 Sector 62 Metro Station. Give breathing space to 3 no. Trees in this area. @OfficialDMRC has "" Anarkali"" 3 trees here @InduPrakashPCS @CeoNoida @vikranttongad @nisharai_ggc https://t.co/Y3xSde29CS"
1961,"@OfficialDMRC @mnshkumar356 Cleaning is not properly executed not only in metro stations but also in metro trains, inside lifts, lifts installed entry out locations etc  Paschim Vihar West, Jhilmil and many more stations.  Immediate attention is highly appreciated."
1962,@OfficialDMRC No action is being taken for people without mask in train and station premises. Mask rule must be strictly applied.
1967,"RT @KaransinghKjt: Dear @OfficialDMRC, you are requested to take some action on the public coming to eat an drink the station, the way they…"
